"Alanine","A"
"Arginine","R"
"Asparagine","N"
"Aspartic Acid","D"
"Cysteine","C"
"Glutamic Acid","E"
"Glutamine","Q"
"Glycine","G"
"Histidine","H"
"Isoleucine","I"
"Leucine","L"
"Lysine","K"
"Methionine","M"
"Phenylalanine","F"
"Proline","P"
"Serine","S"
"Threonine","T"
"Tryptophan","W"
"Tyrosine","Y"
"Valine","V"
"Valine","Nonpolar"
"Tyrosine","Polar"
"Tryptophan","Nonpolar"
"Threonine","Polar"
"Serine","Polar"
"Proline","Nonpolar"
"Phenylalanine","Nonpolar"
"Methionine","Nonpolar"
"Lysine","Basic"
"Leucine","Nonpolar"
"Isoleucine","Nonpolar"
"Histidine","Basic"
"Glycine","Nonpolar"
"Glutamine","Polar"
"Glutamic Acid","Acidic"
"Cysteine","Polar"
"Aspartic Acid","Acidic"
"Asparagine","Polar"
"Arginine","Basic"
"Alanine","Nonpolar"
